Group,HIVE,ANTS,FIN,LGRA,CATA,EFI,FCOT,GMAC,BPOL,GAME,SOBO,PPLA,QOLE,MTIN,CVER
1,35.27,22.43,14.57,48.42,7.04,47.27,242.44,112.26,0,0,87.41,14.78,104.83,9.93,54.51
2,41.26,55.14,8.46,59.29,6.97,32.94,226.81,97.44,0,0,88.6,18.87,106.3,12.57,51.65
