Animal,DominanceCategory,Phenotype,Pair,DateTime,Session,Focal,Duration,Count,Month,MonthlyFruitBiomass,FruitBiomassCategory,TaxonNEW
TH,high,T,8,10/18/2019,70,251,3495,4,10,29.0961191,High,EFI
TH,high,T,8,10/18/2019,70,251,3495,15,10,29.0961191,High,SOBO
TH,high,T,8,10/18/2019,70,251,3495,3,10,29.0961191,High,FIN
TH,high,T,8,11/19/2019,82,272,6120,17,11,48.12151099,High,EFI
TH,high,T,8,11/19/2019,82,272,6120,115,11,48.12151099,High,QOLE
TH,high,T,8,11/19/2019,82,272,6120,82,11,48.12151099,High,SOBO
TH,high,T,8,11/19/2019,82,272,6120,11,11,48.12151099,High,CATA
TH,high,T,8,11/19/2019,82,272,6120,10,11,48.12151099,High,FIN
CT,mid,D,6,7/1/2019,83,135,6526,23,7,11.77498434,Low,EFI
CT,mid,D,6,7/1/2019,83,135,6526,70,7,11.77498434,Low,GAME
CT,mid,D,6,7/1/2019,83,135,6526,3,7,11.77498434,Low,CATA
CT,mid,D,6,7/1/2019,83,135,6526,12,7,11.77498434,Low,FIN
CT,mid,D,6,7/21/2019,20,158,6245,30,7,11.77498434,Low,EFI
CT,mid,D,6,7/21/2019,20,158,6245,13,7,11.77498434,Low,CATA
CT,mid,D,6,7/21/2019,20,158,6245,12,7,11.77498434,Low,FIN
CT,mid,D,6,8/6/2019,28,173,5050,22,8,14.46787252,Low,EFI
CT,mid,D,6,8/6/2019,28,173,5050,1,8,14.46787252,Low,BPOL
CT,mid,D,6,8/6/2019,28,173,5050,4,8,14.46787252,Low,CATA
CT,mid,D,6,8/6/2019,28,173,5050,1,8,14.46787252,Low,FIN
CT,mid,D,6,8/6/2019,28,173,5050,85,8,14.46787252,Low,LGRA
CT,mid,D,6,9/2/2019,42,284,7106,6,9,70.57240697,High,ANTS
CT,mid,D,6,9/2/2019,42,284,7106,61,9,70.57240697,High,EFI
CT,mid,D,6,9/2/2019,42,284,7106,3,9,70.57240697,High,MTIN
CT,mid,D,6,9/2/2019,42,284,7106,7,9,70.57240697,High,CATA
CT,mid,D,6,9/2/2019,42,284,7106,25,9,70.57240697,High,FIN
CT,mid,D,6,10/3/2019,57,225,7097,4,10,29.0961191,High,ANTS
CT,mid,D,6,10/3/2019,57,225,7097,181,10,29.0961191,High,EFI
CT,mid,D,6,10/3/2019,57,225,7097,13,10,29.0961191,High,GMAC
CT,mid,D,6,10/3/2019,57,225,7097,2,10,29.0961191,High,CATA
CT,mid,D,6,10/3/2019,57,225,7097,42,10,29.0961191,High,FIN
CT,mid,D,6,10/17/2019,69,247,6923,90,10,29.0961191,High,ANTS
CT,mid,D,6,10/17/2019,69,247,6923,6,10,29.0961191,High,CATA
CT,mid,D,6,10/17/2019,69,247,6923,113,10,29.0961191,High,EFI
CT,mid,D,6,10/17/2019,69,247,6923,9,10,29.0961191,High,CATA
CT,mid,D,6,10/17/2019,69,247,6923,13,10,29.0961191,High,FIN
CT,mid,D,6,10/17/2019,69,247,6923,76,10,29.0961191,High,LGRA
SJ,mid,D,5,6/27/2019,9,132,5549,1,6,8.760734086,Low,EFI
SJ,mid,D,5,6/27/2019,9,132,5549,77,6,8.760734086,Low,GAME
SJ,mid,D,5,6/27/2019,9,132,5549,47,6,8.760734086,Low,CATA
SJ,mid,D,5,6/27/2019,9,132,5549,2,6,8.760734086,Low,FIN
SJ,mid,D,5,7/15/2019,14,145,5983,1,7,11.77498434,Low,EFI
SJ,mid,D,5,7/15/2019,14,145,5983,4,7,11.77498434,Low,FCOT
SJ,mid,D,5,7/15/2019,14,145,5983,103,7,11.77498434,Low,CATA
SJ,mid,D,5,7/15/2019,14,145,5983,32,7,11.77498434,Low,FIN
SJ,mid,D,5,8/5/2019,26,170,5336,5,8,14.46787252,Low,MTIN
SJ,mid,D,5,8/5/2019,26,170,5336,6,8,14.46787252,Low,FIN
SJ,mid,D,5,9/4/2019,44,200,1628,1,9,70.57240697,High,FIN
SJ,mid,D,5,9/4/2019,44,200,1628,35,9,70.57240697,High,LGRA
SJ,mid,D,5,9/9/2019,45,202,6088,34,9,70.57240697,High,EFI
SJ,mid,D,5,9/9/2019,45,202,6088,23,9,70.57240697,High,GMAC
SJ,mid,D,5,9/9/2019,45,202,6088,2,9,70.57240697,High,FIN
SJ,mid,D,5,9/9/2019,45,202,6088,19,9,70.57240697,High,LGRA
SJ,mid,D,5,9/23/2019,54,216,6710,8,9,70.57240697,High,ANTS
SJ,mid,D,5,9/23/2019,54,216,6710,56,9,70.57240697,High,EFI
SJ,mid,D,5,9/23/2019,54,216,6710,141,9,70.57240697,High,GMAC
SJ,mid,D,5,9/23/2019,54,216,6710,3,9,70.57240697,High,CATA
SJ,mid,D,5,9/23/2019,54,216,6710,2,9,70.57240697,High,FIN
SJ,mid,D,5,9/23/2019,54,216,6710,44,9,70.57240697,High,LGRA
SJ,mid,D,5,10/18/2019,71,250,6436,40,10,29.0961191,High,ANTS
SJ,mid,D,5,10/18/2019,71,250,6436,103,10,29.0961191,High,EFI
SJ,mid,D,5,10/18/2019,71,250,6436,172,10,29.0961191,High,SOBO
SJ,mid,D,5,10/18/2019,71,250,6436,50,10,29.0961191,High,CATA
SJ,mid,D,5,10/18/2019,71,250,6436,27,10,29.0961191,High,FIN
SJ,mid,D,5,11/18/2019,81,270,7212,25,11,48.12151099,High,ANTS
SJ,mid,D,5,11/18/2019,81,270,7212,117,11,48.12151099,High,EFI
SJ,mid,D,5,11/18/2019,81,270,7212,198,11,48.12151099,High,QOLE
SJ,mid,D,5,11/18/2019,81,270,7212,1,11,48.12151099,High,SOBO
SJ,mid,D,5,11/18/2019,81,270,7212,5,11,48.12151099,High,CATA
SJ,mid,D,5,11/18/2019,81,270,7212,35,11,48.12151099,High,FIN
SJ,mid,D,5,11/18/2019,81,270,7212,14,11,48.12151099,High,LGRA
CE,low,D,8,7/1/2019,10,136,6216,1,7,11.77498434,Low,ANTS
CE,low,D,8,7/1/2019,10,136,6216,2,7,11.77498434,Low,EFI
CE,low,D,8,7/1/2019,10,136,6216,6,7,11.77498434,Low,CATA
CE,low,D,8,7/1/2019,10,136,6216,15,7,11.77498434,Low,FIN
CE,low,D,8,7/16/2019,16,149,2490,146,7,11.77498434,Low,FCOT
CE,low,D,8,7/16/2019,16,149,2490,1,7,11.77498434,Low,FIN
CE,low,D,8,7/17/2019,18,155,5478,6,7,11.77498434,Low,BPOL
CE,low,D,8,7/17/2019,18,155,5478,32,7,11.77498434,Low,CATA
CE,low,D,8,7/17/2019,18,155,5478,13,7,11.77498434,Low,FIN
CE,low,D,8,8/8/2019,29,176,5057,3,8,14.46787252,Low,EFI
CE,low,D,8,8/8/2019,29,176,5057,21,8,14.46787252,Low,BPOL
CE,low,D,8,8/8/2019,29,176,5057,1,8,14.46787252,Low,FIN
CE,low,D,8,9/10/2019,46,205,5444,4,9,70.57240697,High,EFI
CE,low,D,8,9/10/2019,46,205,5444,9,9,70.57240697,High,MTIN
CE,low,D,8,9/10/2019,46,205,5444,1,9,70.57240697,High,FIN
CE,low,D,8,9/10/2019,46,205,5444,44,9,70.57240697,High,LGRA
CE,low,D,8,10/1/2019,56,223,5725,58,10,29.0961191,High,EFI
CE,low,D,8,10/1/2019,56,223,5725,9,10,29.0961191,High,FCOT
CE,low,D,8,10/1/2019,56,223,5725,1,10,29.0961191,High,CATA
CE,low,D,8,10/1/2019,56,223,5725,5,10,29.0961191,High,FIN
CE,low,D,8,10/1/2019,56,223,5725,30,10,29.0961191,High,LGRA
CE,low,D,8,10/16/2019,68,245,3144,9,10,29.0961191,High,EFI
CE,low,D,8,10/16/2019,68,245,3144,6,10,29.0961191,High,CATA
