Group,HIVE,ANTS,FIN,LGRA,CATA,EFI,FCOT,GMAC,BPOL,GAME,SOBO,PPLA,QOLE,MTIN,CVER
1,38.87,13.8,10.13,29.9,17.94,12.65,134.21,14.7,8.91,58.65,16.99,42.81,0,9.61,0
2,47.03,16.56,11.48,20.27,21.37,15.18,31.34,24.1,14.01,59.97,54.54,25.51,0,5.26,0
