Animal,DateTime,Session,Scaled.Rank,Phenotype,Pair,Focal,Duration,DM_intake,CP_intake,CF_intake,WSC_intake,NDF_intake,DominanceCategory,Month,MonthlyFruitBiomass,FruitBiomassCategory,PE_Intake,NDF_Energy_Intake,CF_Energy_Intake,WSC_Energy_Intake,NPE_Intake,NPE_PE_Ratio,ME_Total,DryMassTotal
MA,10/7/2019,61,0.75,T,2,230,7600,46.24,4.854656,2.88456,10.806288,18.205504,high,10,29.0961191,High,19.418624,72.822016,25.96104,43.225152,69.186192,3.562878194,88.604816,36.751008
FT,10/7/2019,62,0.625,T,1,231,6354,45.96130112,9.643229443,13.95630613,4.495930359,14.61601023,mid,10,29.0961191,High,38.57291777,58.46404092,125.6067552,17.98372144,143.5904766,3.722572336,182.1633944,42.71147616
KI,10/7/2019,62,0.375,D,1,232,5327,71.89072735,14.48149571,20.45985321,7.477625675,22.8311763,mid,10,29.0961191,High,57.92598282,91.32470518,184.1386788,29.9105027,214.0491815,3.695218814,271.9751644,65.25015088
SH,10/7/2019,61,0.125,D,2,233,6752,39.2,2.8812,2.39904,9.702,16.13864,low,10,29.0961191,High,11.5248,64.55456,21.59136,38.808,60.39936,5.240816327,71.92416,31.12088
PR,10/8/2019,63,0.875,T,3,234,6791,77.41060645,7.257616865,4.919448935,18.51653685,31.00116088,high,10,29.0961191,High,29.03046746,124.0046435,44.27504042,74.0661474,118.3411878,4.07644789,147.3716553,61.69476353
SI,10/8/2019,63,1,D,3,235,6650,143.3491667,15.01458071,18.72755979,28.46464029,57.15341829,high,10,29.0961191,High,60.05832283,228.6136732,168.5480381,113.8585612,282.4065993,4.702205889,342.4649221,119.3601991
QD,10/10/2019,64,0.666666667,D,9,236,5862,17.04563816,5.688568956,1.809600982,2.48710697,4.61033724,high,10,29.0961191,High,22.75427582,18.44134896,16.28640884,9.94842788,26.23483672,1.152962939,48.98911254,14.59561415
PD,10/10/2019,64,0.333333333,T,9,237,6317,16.98214545,2.439449396,1.108445898,3.712971164,6.349372764,mid,10,29.0961191,High,9.757797584,25.39749106,9.976013082,14.85188466,24.82789774,2.544416148,34.58569532,13.61023922
RS,10/11/2019,65,0.6,D,10,238,6473,21.64071813,11.37650283,3.116796014,3.41378979,2.124361192,mid,10,29.0961191,High,45.50601131,8.497444768,28.05116413,13.65515916,41.70632329,0.916501405,87.2123346,20.03144982
MW,10/11/2019,65,0,T,10,239,5657,11.14366958,4.869722121,1.481173418,1.394548892,2.148205576,low,10,29.0961191,High,19.47888848,8.592822304,13.33056076,5.578195568,18.90875633,0.970730766,38.38764481,9.893650007
SP,10/14/2019,66,0.8,D,11,240,7019,10.82167927,5.181304336,1.160049048,0.655840651,1.952924702,high,10,29.0961191,High,20.72521734,7.811698808,10.44044143,2.623362604,13.06380404,0.630333753,33.78902138,8.950118737
WK,10/14/2019,66,1,T,11,241,6080,10.62860435,6.349151776,1.112604604,0.28282184,1.266750728,high,10,29.0961191,High,25.3966071,5.067002912,10.01344144,1.13128736,11.1447288,0.438827468,36.5413359,9.011328948
VN,10/16/2019,67,0.142857143,D,7,242,6586,46.72126669,6.796349649,8.144487991,7.227134111,17.67674371,low,10,29.0961191,High,27.1853986,70.70697484,73.30039192,28.90853644,102.2089284,3.759699458,129.394327,39.84471546
CH,10/16/2019,67,0,T,7,243,6187,44.92061183,8.892710096,3.722145428,8.834560212,15.43053007,low,10,29.0961191,High,35.57084038,61.72212029,33.49930885,35.33824085,68.8375497,1.93522416,104.4083901,36.87994581
TH,10/16/2019,68,0.714285714,T,8,244,3809,8.6680348,4.380361474,1.34972392,0.646097852,1.5579946,high,10,29.0961191,High,17.5214459,6.2319784,12.14751528,2.584391408,14.73190669,0.840792865,32.25335258,7.934177846
CE,10/16/2019,68,0.285714286,D,8,245,3144,4.411413048,2.682801514,0.644680661,0.129275235,0.597634572,low,10,29.0961191,High,10.73120606,2.390538288,5.802125949,0.51710094,6.319226889,0.588864556,17.05043295,4.054391982
OR,10/17/2019,69,0.857142857,T,6,246,6019,23.58553442,7.985394501,2.897200761,4.291257846,5.41742422,high,10,29.0961191,High,31.941578,21.66969688,26.07480685,17.16503138,43.23983823,1.353716408,75.18141624,20.59127733
CT,10/17/2019,69,0.571428571,D,6,247,6923,45.53266384,13.06363161,4.130070384,9.751961196,10.97759138,mid,10,29.0961191,High,52.25452644,43.91036552,37.17063346,39.00784478,76.17847824,1.457835013,128.4330047,37.92325457
CE,10/18/2019,70,0.285714286,D,8,248,3917,4.210000002,1.958148002,0.779737998,0.086623998,0.845539998,low,10,29.0961191,High,7.832592008,3.382159992,7.017641982,0.346495992,7.364137974,0.940191697,15.19672998,3.670049996
SS,10/18/2019,71,1,T,5,249,5038,44.41448281,7.919983789,14.95029489,2.83983842,16.02489443,high,10,29.0961191,High,31.67993516,64.09957772,134.552654,11.35935368,145.9120077,4.605817752,177.5919429,41.73501153
SJ,10/18/2019,71,0.428571429,D,5,250,6436,59.93841594,14.81942738,17.51616289,3.508078102,19.22405375,mid,10,29.0961191,High,59.27770953,76.89621501,157.645466,14.03231241,171.6777784,2.896160796,230.955488,55.06772213
TH,10/18/2019,70,0.714285714,T,8,251,3495,11.81345518,1.595914154,1.971300997,2.449551001,4.062494849,high,10,29.0961191,High,6.383656616,16.2499794,17.74170897,9.798204004,27.53991298,4.314128192,33.92356959,10.079261
PR,10/29/2019,72,0.875,T,3,252,6936,45.23625005,8.604056304,15.35201745,1.882938696,17.23620495,high,10,29.0961191,High,34.41622522,68.94481978,138.168157,7.531754784,145.6999118,4.233465782,180.116137,43.07521739
SI,10/29/2019,72,1,D,3,253,7356,86.44604902,11.38393462,20.42638059,13.98242091,31.18003295,high,10,29.0961191,High,45.53573848,124.7201318,183.8374253,55.92968364,239.7671089,5.265470967,285.3028474,76.97276906
ED,10/30/2019,73,0.5,D,4,254,6551,22.958,9.500574896,1.8993284,2.90219072,4.499412,mid,10,29.0961191,High,38.00229958,17.997648,17.0939556,11.60876288,28.70271848,0.75528899,66.70501806,18.80150602
LA,10/30/2019,73,0,T,4,255,6412,53.11368411,10.56815477,15.56590343,3.67880148,19.27436991,low,10,29.0961191,High,42.27261909,77.09747962,140.0931309,14.71520592,154.8083368,3.662142071,197.0809559,49.08722959
FT,11/1/2019,74,0.625,T,1,256,6034,7.99,4.010478696,0.598996,0.41160672,1.3383,mid,11,48.12151099,High,16.04191478,5.3532,5.390964,1.64642688,7.03739088,0.438687711,23.07930566,6.359381416
MA,11/1/2019,75,0.75,T,2,257,7633,51.592,23.86133295,4.2080936,4.44077664,9.512528,high,11,48.12151099,High,95.44533181,38.050112,37.8728424,17.76310656,55.63594896,0.582909063,151.0812808,42.02273119
KI,11/1/2019,74,0.375,D,1,258,5527,40.03018745,9.248112047,12.72959965,1.81411768,13.4909321,mid,11,48.12151099,High,36.99244819,53.96372841,114.5663969,7.25647072,121.8228676,3.293182083,158.8153158,37.28276148
SH,11/1/2019,75,0.125,D,2,259,5843,19.99773332,5.877141466,1.876140836,2.014144516,5.934527574,low,11,48.12151099,High,23.50856586,23.7381103,16.88526752,8.056578064,24.94184559,1.060968403,48.45041145,15.70195439
PD,11/4/2019,76,0.333333333,T,9,260,6869,91.64,6.151472,0.897072,28.0618557,6.80324,mid,11,48.12151099,High,24.605888,27.21296,8.073648,112.2474228,120.3210708,4.889930036,144.9269588,41.9136397
